time,phoneme,duration,F1,F2,F3
1.3069887629143153,,2.6139775258286306,896.4573369724985,1610.3863775171878,2763.223829365822
2.7061109007143855,a,0.1842667497715098,814.3819457350028,1556.0716248708375,1651.2491193676633
3.3596436399040073,,1.1227987286077337,885.7900538534434,1891.2712332598385,2854.283785397561
4.041430614058594,a,0.24077521970144034,823.2642041201094,1555.2630952583154,2953.016189115491
4.647587237129105,,0.9715380264395819,1025.314077010677,1520.4512048105573,2566.5388104326053
5.250058525204187,a,0.23340454971058122,859.0648439318721,1595.4504762780082,2851.206425762694
5.919912272947101,,1.1063029457752478,927.8843825531022,1789.808598833943,2764.3273342000907
6.586080685694585,a,0.22603387971971856,860.0588744809562,1488.7434674868075,2860.00159651576
7.534215479443889,,1.6702357077788896,984.8985636097502,1996.058941432236,3191.2751659974374
9.410842694638152,,2.083018722609637,852.9204008487557,1400.6659662393977,2706.13330957496
10.521939363985897,ə,0.13917461608585313,748.5770491428943,1746.9488536406336,3077.386304977814
11.06965882083993,,0.9562642976222122,915.9167146476751,2038.9704112438712,2764.4212679541592
11.630846788928078,ə,0.16611163855408506,715.5494656571044,1660.982808646156,1958.8911587375949
12.145372083946395,,0.8629389514825476,996.0110181525007,1670.0863907314251,2561.896149727053
12.65091837147531,ə,0.14815362357528272,780.9779614739263,1697.6442759568392,2978.2287772946543
13.27046988824463,,1.0909494099633577,849.3820530791418,1772.5580195372163,3017.024697426456
13.890021405013943,ə,0.1481536235752685,726.7838191885148,1722.688659595514,2978.16606947909
14.972049108400785,,2.015901783198416,1176.7704799241312,2164.765799390122,3161.875659491641
